公司代號,_公司代號,公司名稱,統一編號,_統一編號,市場別
104,_000104,臺銀綜合證券股份有限公司,28428390,_	28428390,公開發行
111,_000111,臺灣中小企銀(證券部),14329223,_	14329223,
116,_000116,日盛證券股份有限公司,3098908,_	03098908,不繼續公開發行
218,_000218,亞東證券股份有限公司,36552651,_	36552651,公開發行
511,_000511,富隆證券股份有限公司,22956788,_	22956788,公開發行
518,_000518,太平洋證券股份有限公司,22957533,_	22957533,不繼續公開發行
532,_000532,高橋證券股份有限公司,22958842,_	22958842,公開發行
537,_000537,鴻福證券股份有限公司,23111773,_	23111773,不繼續公開發行
538,_000538,第一金證券股份有限公司,22959223,_	22959223,公開發行
546,_000546,寶盛證券股份有限公司,23111648,_	23111648,公開發行
550,_000550,豐銀證券股份有限公司,23112344,_	23112344,不繼續公開發行
560,_000560,永興證券股份有限公司,22957745,_	22957745,公開發行
572,_000572,大華證券股份有限公司,23115497,_	23115497,不繼續公開發行
587,_000587,光隆證券股份有限公司,23222335,_	23222335,不繼續公開發行
596,_000596,日茂證券股份有限公司,23360006,_	23360006,
601,_000601,?亞證券股份有限公司,23226260,_	23226260,公開發行
616,_000616,中國信託綜合證券股份有限公司,23416851,_	23416851,公開發行
638,_000638,光和證券股份有限公司,23417015,_	23417015,公開發行
646,_000646,大昌證券股份有限公司,23469771,_	23469771,公開發行
662,_000662,口袋證券股份有限公司,23470685,_	23470685,
666,_000666,和興證券股份有限公司,23469717,_	23469717,不繼續公開發行
695,_000695,福勝證券股份有限公司,23470904,_	23470904,公開發行
700,_000700,兆豐證券股份有限公司,23474649,_	23474649,公開發行
708,_000708,石橋證券股份有限公司,23474227,_	23474227,公開發行
732,_000732,大永證券股份有限公司,23472305,_	23472305,不繼續公開發行
736,_000736,日陞證券股份有限公司,23532177,_	23532177,不繼續公開發行
775,_000775,北城證券股份有限公司,23530972,_	23530972,公開發行
779,_000779,國票綜合證券股份有限公司,23535744,_	23535744,公開發行
815,_000815,台新綜合證券股份有限公司,23534956,_	23534956,公開發行
838,_000838,安泰證券股份有限公司,23827117,_	23827117,公開發行
856,_000856,新光證券股份有限公司,84703412,_	84703412,公開發行
869,_000869,新壽綜合證券股份有限公司,16096826,_	16096826,不繼續公開發行
877,_000877,大鼎證券股份有限公司,16634748,_	16634748,不繼續公開發行
888,_000888,國泰綜合證券股份有限公司,27236155,_	27236155,公開發行
930,_000930,華南永昌綜合證券股份有限公司,22955774,_	22955774,公開發行
960,_000960,富邦綜合證券股份有限公司,22957301,_	22957301,公開發行
980,_000980,元大證券股份有限公司,97160609,_	97160609,公開發行
1101,_1101,臺灣水泥股份有限公司,11913502,_	11913502,上市
1102,_1102,亞洲水泥股份有限公司,3244509,_	03244509,上市
1103,_1103,嘉新水泥股份有限公司,11892801,_	11892801,上市
1104,_1104,環球水泥股份有限公司,7568009,_	07568009,上市
1108,_1108,幸福水泥股份有限公司,40601248,_	40601248,上市
1109,_1109,信大水泥股份有限公司,3279507,_	03279507,上市
1110,_1110,東南水泥股份有限公司,83078600,_	83078600,上市
1111,_1111,欣欣水泥企業股份有限公司,36513594,_	36513594,公開發行
1115,_1115,和桐水泥股份有限公司,53220783,_	53220783,不繼續公開發行
1201,_1201,味全食品工業股份有限公司,11347802,_	11347802,上市
1203,_1203,味王股份有限公司,7067309,_	07067309,上市
1210,_1210,大成長城企業股份有限公司,73008303,_	73008303,上市
1213,_1213,大西洋飲料股份有限公司,35012903,_	35012903,上市
1215,_1215,台灣卜蜂企業股份有限公司,36514783,_	36514783,上市
1216,_1216,統一企業股份有限公司,73251209,_	73251209,上市
1217,_1217,愛之味股份有限公司,65534366,_	65534366,上市
1218,_1218,泰山企業股份有限公司,59661701,_	59661701,上市
1219,_1219,福壽實業股份有限公司,56192402,_	56192402,上市
1220,_1220,台榮產業股份有限公司,3543210,_	03543210,上市
1225,_1225,福懋油脂股份有限公司,22102298,_	22102298,上市
1227,_1227,佳格食品股份有限公司,22102473,_	22102473,上市
1229,_1229,聯華實業投資控股股份有限公司,11996904,_	11996904,上市
1231,_1231,聯華食品工業股份有限公司,7569627,_	07569627,上市
1232,_1232,大統益股份有限公司,20927014,_	20927014,上市
1233,_1233,天仁茶業股份有限公司,18559415,_	18559415,上市
1234,_1234,黑松股份有限公司,20651901,_	20651901,上市
1235,_1235,興泰實業股份有限公司,85617982,_	85617982,上市
1236,_1236,宏亞食品股份有限公司,34106066,_	34106066,上市
1237,_1237,台灣糖業股份有限公司,3794905,_	03794905,公開發行
1240,_1240,茂生農經股份有限公司,18795706,_	18795706,上櫃
