公司代號,公司名稱,統一編號,_統一編號
104,臺銀綜合證券股份有限公司,"	28428390","_	28428390"
111,臺灣中小企銀股份有限公司,"	14329223","_	14329223"
116,日盛證券股份有限公司,"	03098908","_	03098908"
218,亞東證券股份有限公司,"	36552651","_	36552651"
511,富隆證券股份有限公司,"	22956788","_	22956788"
518,太平洋證券股份有限公司,"	22957533","_	22957533"
532,高橋證券股份有限公司,"	22958842","_	22958842"
537,鴻福證券股份有限公司,"	23111773","_	23111773"
538,第一金證券股份有限公司,"	22959223","_	22959223"
546,寶盛證券股份有限公司,"	23111648","_	23111648"
550,豐銀證券股份有限公司,"	23112344","_	23112344"
560,永興證券股份有限公司,"	22957745","_	22957745"
572,大華證券股份有限公司,"	23115497","_	23115497"
587,光隆證券股份有限公司,"	23222335","_	23222335"
596,日茂證券股份有限公司,"	23360006","_	23360006"
601,犇亞證券股份有限公司,"	23226260","_	23226260"
616,中國信託綜合證券股份有限公司,"	23416851","_	23416851"
638,光和證券股份有限公司,"	23417015","_	23417015"
646,大昌證券股份有限公司,"	23469771","_	23469771"
662,全泰證券股份有限公司,"	23470685","_	23470685"
666,和興證券股份有限公司,"	23469717","_	23469717"
695,福勝證券股份有限公司,"	23470904","_	23470904"
700,兆豐證券股份有限公司,"	23474649","_	23474649"
708,石橋證券股份有限公司,"	23474227","_	23474227"
732,大永證券股份有限公司,"	23472305","_	23472305"
736,日陞證券股份有限公司,"	23532177","_	23532177"
775,北城證券股份有限公司,"	23530972","_	23530972"
779,國票綜合證券股份有限公司,"	23535744","_	23535744"
815,台新綜合證券股份有限公司,"	23534956","_	23534956"
838,安泰證券股份有限公司,"	23827117","_	23827117"
856,新光證券股份有限公司,"	84703412","_	84703412"
869,新壽綜合證券股份有限公司,"	16096826","_	16096826"
877,大鼎證券股份有限公司,"	16634748","_	16634748"
888,國泰綜合證券股份有限公司,"	27236155","_	27236155"
930,華南永昌綜合證券股份有限公司,"	22955774","_	22955774"
960,富邦綜合證券股份有限公司,"	22957301","_	22957301"
980,元大證券股份有限公司,"	97160609","_	97160609"
1101,台灣水泥股份有限公司,"	11913502","_	11913502"
1102,亞洲水泥股份有限公司,"	03244509","_	03244509"
1103,嘉新水泥股份有限公司,"	11892801","_	11892801"
1104,環球水泥股份有限公司,"	07568009","_	07568009"
1108,幸福水泥股份有限公司,"	40601248","_	40601248"
1109,信大水泥股份有限公司,"	03279507","_	03279507"
1110,東南水泥股份有限公司,"	83078600","_	83078600"
1111,欣欣水泥企業股份有限公司,"	36513594","_	36513594"
1115,和桐水泥股份有限公司,"	53220783","_	53220783"
1201,味全食品工業股份有限公司,"	11347802","_	11347802"
1203,味王股份有限公司,"	07067309","_	07067309"
1210,大成長城企業股份有限公司,"	73008303","_	73008303"
1213,大西洋飲料股份有限公司,"	35012903","_	35012903"
1215,台灣卜蜂企業股份有限公司,"	36514783","_	36514783"
1216,統一企業股份有限公司,"	73251209","_	73251209"
1217,愛之味股份有限公司,"	65534366","_	65534366"
1218,泰山企業股份有限公司,"	59661701","_	59661701"
1219,福壽實業股份有限公司,"	56192402","_	56192402"
1220,台榮產業股份有限公司,"	03543210","_	03543210"
1225,福懋油脂股份有限公司,"	22102298","_	22102298"
1227,佳格食品股份有限公司,"	22102473","_	22102473"
1229,聯華實業投資控股股份有限公司,"	11996904","_	11996904"
1231,聯華食品工業股份有限公司,"	07569627","_	07569627"
1232,大統益股份有限公司,"	20927014","_	20927014"
1233,天仁茶業股份有限公司,"	18559415","_	18559415"
1234,黑松股份有限公司,"	20651901","_	20651901"
1235,興泰實業股份有限公司,"	85617982","_	85617982"
1236,宏亞食品股份有限公司,"	34106066","_	34106066"
1237,台灣糖業股份有限公司,"	03794905","_	03794905"
