公司代號,公司名稱,英文簡稱,申報原因,產業類別,報告書內容涵蓋期間,編製依循準則,第三方驗證(驗證單位),第三方驗證(單位名稱),第三方驗證(採用標準),公司網站報告書相關資訊(中文版),中文版永續報告書檔案,中文版上傳日期,英文版永續報告書網址,英文版永續報告書檔案,英文版上傳日期,中文版永續報告書(修正後版本),上傳日期(中文修正後版本),英文版永續報告書(修正後版本),上傳日期(英文修正後版本),報告書聯絡資訊,備註,公司完整名稱,統一編號,CSR報告超連結
1101,台泥,TCC,5.股本達新臺幣二十億元以上者,水泥工業,111/01/01~111/12/31,1. GRI 準則,會計師事務所：,勤業眾信聯合會計師事務所,確信準則3000號(原公報第一號),https://www.taiwancement.com/tw/esgReport.html,t100sa11_1101_111.pdf,112/06/28,https://www.taiwancement.com/en/esgReport.html,t100sa11_1101_111_E.pdf,2023/06/28,,,,,tcc_csr@taiwancement.com,,臺灣水泥股份有限公司,_11913502,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1101_111.pdf
1102,亞泥,ACC,5.股本達新臺幣二十億元以上者,水泥工業,111/01/01~111/12/31,1. GRI 準則,其他查驗證單位：,SGS公司,AA1000 第2類型(Type2) 中度保證,https://esg.acc.com.tw/,t100sa11_1102_111.pdf,112/06/30,https://esg.acc.com.tw/en/resource_center/esg_report,t100sa11_1102_111_E.pdf,2023/08/02,t100sa11_1102_111_M.pdf,112/08/02,,,sheng.lin@acc.com.tw,溫室氣體查驗於2023/06/30完成，待取得第三方驗證報告書後將再更新。,亞洲水泥股份有限公司,_03244509,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1102_111.pdf
1103,嘉泥,CHC,5.股本達新臺幣二十億元以上者,水泥工業,111/01/01~111/12/31,1. GRI 準則,其他查驗證單位：,英國標準協會台灣分公司(BSI Taiwan),AA1000 第1類型(Type1) 中度保證,https://www.chcgroup.com.tw/%e5%a0%b1%e5%91%8a%e6%9b%b8%e4%b8%8b%e8%bc%89/,t100sa11_1103_111.pdf,112/06/28,https://www.chcgroup.com.tw/en/%e5%a0%b1%e5%91%8a%e6%9b%b8%e4%b8%8b%e8%bc%89-en/?lang=en,t100sa11_1103_111_E.pdf,2023/08/25,,,,,kellyyu@chcgroup.com.tw,,嘉新水泥股份有限公司,_11892801,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1103_111.pdf
1104,環泥,UCC,5.股本達新臺幣二十億元以上者,水泥工業,111/01/01~111/12/31,2. 其他依循標準：依循GRI永續報告核心準則及永續會計準則(SASB)之建築材料業準則,會計師事務所：,秉承聯合會計師事務所,確信準則3000號(原公報第一號),http://www.ucctw.com/m/412-1518-11789.php?Lang=zh-tw,t100sa11_1104_111.pdf,112/06/28,,,,,,,,peter.chang@ucctw.com,,環球水泥股份有限公司,_07568009,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1104_111.pdf
1108,幸福,LUCKY CEMENT,5.股本達新臺幣二十億元以上者,水泥工業,111/01/01~111/12/31,1. GRI 準則,無,無資料,無資料,https://www.luckygrp.com.tw/tw/index.asp?au_id=11&sub_id=53,t100sa11_1108_111.pdf,112/06/08,https://en.luckygrp.com.tw/upload/menu/20230627011400.pdf,t100sa11_1108_111_E.pdf,2023/06/27,,,,,barrychang@luckygrp.com.tw,,幸福水泥股份有限公司,_40601248,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1108_111.pdf
1110,東泥,TUNA CEMENT,5.股本達新臺幣二十億元以上者,水泥工業,111/01/01~111/12/31,1. GRI 準則,無,無資料,無資料,http://www.southeastcement.com.tw/index.php?q=csr,t100sa11_1110_111.pdf,112/06/29,,,,,,,,southeast@secement.com,,東南水泥股份有限公司,_83078600,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1110_111.pdf
1216,統一,UNI-PRESIDENT,1.屬食品工業者、5.股本達新臺幣二十億元以上者,食品工業,111/01/01~111/12/31,1. GRI 準則,會計師事務所：,資誠聯合會計師事務所,確信準則3000號(原公報第一號),https://www.uni-president.com.tw/ESG/index.html,t100sa11_1216_111.pdf,112/07/26,,,,,,,,zona.wang@mail.pec.com.tw,無,統一企業股份有限公司,_73251209,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1216_111.pdf
1218,泰山,TAISUN,1.屬食品工業者,食品工業,111/01/01~111/12/31,2. 其他依循標準：R2. 其他依循標準：GRI準則、SASB、上市公司編製與申報永續報告書作業辦法第四條,會計師事務所：,安侯建業聯合會計師事務所,確信準則3000號(原公報第一號),https://www.taisun.com.tw/download/2022esg%e6%b0%b8%e7%ba%8c%e5%a0%b1%e5%91%8a%e6%9b%b8/?wpdmdl=16861&refresh=64e433df22a291692677087,t100sa11_1218_111.pdf,112/08/25,,,,,,,,vita@taisun.com.tw,無,泰山企業股份有限公司,_59661701,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1218_111.pdf
1219,福壽,FWUSOW,1.屬食品工業者、5.股本達新臺幣二十億元以上者,食品工業,111/01/01~111/12/31,2. 其他依循標準：GRI準則、氣候相關財務揭露(TCFD)、SASB準則,會計師事務所：,群智聯合會計師事務所,確信準則3000號(原公報第一號),https://www.fwusow.com.tw/download/itemlist/category/165.html,t100sa11_1219_111.pdf,112/06/30,https://www.fwusow.com.tw/download/itemlist/category/165.html,t100sa11_1219_111_E.pdf,2023/08/25,,,,,ccyao@fwusow.com.tw,,福壽實業股份有限公司,_56192402,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1219_111.pdf
1225,福懋油,FOPCO,1.屬食品工業者、5.股本達新臺幣二十億元以上者,食品工業,111/01/01~111/12/31,1. GRI 準則,會計師事務所：,勤業眾信聯合會計師事務所,確信準則3000號(原公報第一號),http://fopco.com.tw/About.php?ADKey=27,t100sa11_1225_111.pdf,112/06/30,,,,,,,,matt.kuo@fopco.com.tw,無,福懋油脂股份有限公司,_22102298,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1225_111.pdf
